userid,propertyuri,weight,level
1048,http://dbpedia.org/ontology/cinematography,0.018,1
1048,http://dbpedia.org/ontology/cinematography,0.067,2
1048,http://dbpedia.org/ontology/country,0.223,1
1048,http://dbpedia.org/ontology/country,0.267,2
1048,http://dbpedia.org/ontology/director,0.018,1
1048,http://dbpedia.org/ontology/director,0.267,2
1048,http://dbpedia.org/ontology/distributor,0.036,1
1048,http://dbpedia.org/ontology/distributor,0.400,2
1048,http://dbpedia.org/ontology/editing,0.018,1
1048,http://dbpedia.org/ontology/editing,0.067,2
1048,http://dbpedia.org/ontology/language,0.018,1
1048,http://dbpedia.org/ontology/language,0.200,2
1048,http://dbpedia.org/ontology/musicComposer,0.000,1
1048,http://dbpedia.org/ontology/musicComposer,0.133,2
1048,http://dbpedia.org/ontology/producer,0.018,1
1048,http://dbpedia.org/ontology/producer,0.133,2
1048,http://dbpedia.org/ontology/soundRecording,0.000,1
1048,http://dbpedia.org/ontology/soundRecording,0.133,2
1048,http://dbpedia.org/ontology/starring,0.000,1
1048,http://dbpedia.org/ontology/starring,0.067,2
1048,http://dbpedia.org/ontology/writer,0.018,1
1048,http://dbpedia.org/ontology/writer,0.267,2
1048,http://dbpedia.org/property/productionCompanies,0.000,1
1048,http://dbpedia.org/property/productionCompanies,0.133,2
1048,http://dbpedia.org/property/title,0.000,1
1048,http://dbpedia.org/property/title,0.067,2
1048,http://purl.org/dc/terms/subject,0.304,1
1048,http://purl.org/dc/terms/subject,1.000,2
1048,http://www.w3.org/2000/01/rdf-schema#seeAlso,0.009,1
1048,http://www.w3.org/2000/01/rdf-schema#seeAlso,0.000,2
1048,http://www.w3.org/2002/07/owl#differentFrom,0.000,1
1048,http://www.w3.org/2002/07/owl#differentFrom,0.000,2
