userid,propertyuri,weight
1048,http://dbpedia.org/ontology/almaMater,0.017
1048,http://dbpedia.org/ontology/anthem,0.008
1048,http://dbpedia.org/ontology/associatedBand,0.017
1048,http://dbpedia.org/ontology/associatedMusicalArtist,0.017
1048,http://dbpedia.org/ontology/author,0.017
1048,http://dbpedia.org/ontology/award,0.008
1048,http://dbpedia.org/ontology/bandMember,0.008
1048,http://dbpedia.org/ontology/birthPlace,0.123
1048,http://dbpedia.org/ontology/board,0.017
1048,http://dbpedia.org/ontology/broadcastNetwork,0.008
1048,http://dbpedia.org/ontology/capital,0.053
1048,http://dbpedia.org/ontology/child,0.008
1048,http://dbpedia.org/ontology/cinematography,0.026
1048,http://dbpedia.org/ontology/citizenship,0.256
1048,http://dbpedia.org/ontology/country,0.230
1048,http://dbpedia.org/ontology/currency,0.008
1048,http://dbpedia.org/ontology/deathCause,0.008
1048,http://dbpedia.org/ontology/deathPlace,0.203
1048,http://dbpedia.org/ontology/director,0.026
1048,http://dbpedia.org/ontology/distributor,0.044
1048,http://dbpedia.org/ontology/division,0.017
1048,http://dbpedia.org/ontology/editing,0.026
1048,http://dbpedia.org/ontology/education,0.008
1048,http://dbpedia.org/ontology/ethnicGroup,0.017
1048,http://dbpedia.org/ontology/ethnicity,0.008
1048,http://dbpedia.org/ontology/foundationPlace,1.000
1048,http://dbpedia.org/ontology/foundedBy,0.017
1048,http://dbpedia.org/ontology/genre,0.017
1048,http://dbpedia.org/ontology/governmentType,0.017
1048,http://dbpedia.org/ontology/hometown,0.115
1048,http://dbpedia.org/ontology/industry,0.115
1048,http://dbpedia.org/ontology/influenced,0.008
1048,http://dbpedia.org/ontology/influencedBy,0.008
1048,http://dbpedia.org/ontology/instrument,0.008
1048,http://dbpedia.org/ontology/isPartOf,0.008
1048,http://dbpedia.org/ontology/keyPerson,0.017
1048,http://dbpedia.org/ontology/knownFor,0.008
1048,http://dbpedia.org/ontology/language,0.026
1048,http://dbpedia.org/ontology/languageFamily,0.017
1048,http://dbpedia.org/ontology/languageRegulator,0.008
1048,http://dbpedia.org/ontology/largestCity,0.460
1048,http://dbpedia.org/ontology/leader,0.008
1048,http://dbpedia.org/ontology/leaderName,0.008
1048,http://dbpedia.org/ontology/location,0.522
1048,http://dbpedia.org/ontology/locationCity,0.265
1048,http://dbpedia.org/ontology/locationCountry,0.690
1048,http://dbpedia.org/ontology/movement,0.008
